SiteID,Easting,Northing,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Raw,BiasAdjusted,DistanceCorrected
DT1,615295,158001,54.5,78.8,-,56.8,62.1,59.2,-,-,-,-,-,78.6,65.0,45.1,43.2
DT6,615655,158696,47.7,43.7,35.8,42.2,35.3,33.7,29.6,33.5,35.0,39.0,43.6,43.8,38.6,29.3,
DT7,614355,158267,37.6,40.0,-,34.7,31.0,30.8,25.3,27.3,28.3,32.6,44.5,-,33.2,25.2,
DT8,617785,168231,39.1,36.5,32.7,37.8,32.2,34.3,27.5,28.5,26.8,28.0,37.6,33.9,32.9,25.0,
DT9,610686,166421,41.5,-,29.6,32.4,-,28.7,29.9,30.5,-,30.8,37.9,37.5,33.2,25.2,
DT11,620909,157426,36.8,30.0,25.0,24.0,20.8,19.6,20.4,22.7,20.4,24.5,30.6,27.7,25.2,19.2,
DT2,614229,157091,43.9,42.6,31.5,42.9,31.8,38.2,33.6,32.9,30.3,34.5,43.1,40.8,37.2,28.3,
DT5,614043,158016,45.9,51.5,-,27.8,31.4,31.3,29.1,42.6,29.5,40.2,60.4,-,39.0,29.6,
DT13,616186,157320,20.4,21.5,17.2,17.6,12.2,10.8,12.6,11.9,11.4,14.3,21.3,17.2,15.7,11.9,
DT3,614675,158219,46.4,53.3,41.7,42.2,38.9,43.3,35.8,41.1,37.9,42.9,50.1,41.9,43.0,32.6,
DT4,614410,157702,41.2,66.8,56.6,53.4,60.6,55.3,59.1,64.4,54.8,59.1,66.5,65.8,58.6,44.6,26.1
DT10,615123,158630,34.5,41.5,37.7,34.2,27.2,28.7,26.1,31.9,29.4,34.5,42.9,38.2,33.9,25.8,
DT27,615295,158030,63.0,67.2,59.2,65.6,57.0,60.6,56.0,57.8,56.1,60.3,63.6,58.8,60.4,45.9,36.5
DT12,615390,158180,48.8,60.0,50.4,48.5,45.2,48.2,45.3,51.2,46.5,52.6,55.3,53.3,50.4,38.3,
DT14,614065,156976,-,49.1,53.4,56.8,49.0,52.0,52.6,53.3,49.1,51.4,57.3,-,52.4,39.8,
DT15,613902,156851,57.5,63.5,60.9,55.0,51.0,53.2,52.7,56.0,50.0,58.5,61.7,51.7,56.0,42.5,
DT16,615401,158169,36.5,34.5,35.1,45.2,32.4,34.9,28.1,28.2,31.3,34.0,38.8,31.6,34.2,26.0,
DT17,616169,159067,-,50.3,42.2,55.5,53.5,52.6,47.7,49.1,44.8,52.1,55.0,55.9,50.8,38.6,
DT18,615106,157382,51.6,44.6,40.5,51.6,46.3,45.9,38.0,35.1,38.6,43.0,51.0,36.6,43.6,33.1,
DT19,614454,158180,57.8,63.9,53.1,48.1,47.2,47.2,46.8,52.9,39.9,52.0,54.3,49.2,51.0,38.8,
DT20,614479,157857,45.3,44.8,-,45.5,32.9,-,35.4,37.6,37.1,-,-,44.4,40.4,30.6,
DT21,614688,158251,34.9,-,34.9,42.2,30.0,33.0,27.3,31.8,30.1,33.4,39.2,34.8,33.8,25.7,
DT22,615851,157672,47.1,53.8,-,45.8,-,40.3,39.9,-,-,-,52.8,-,46.6,31.2,
DT23,614501,157338,67.1,60.5,63.7,53.1,55.4,54.6,54.2,56.6,55.3,60.4,62.3,53.9,58.1,44.1,
DT24,617748,160331,43.4,47.5,-,36.9,32.8,31.6,34.3,33.8,-,-,42.6,42.5,38.4,29.2,
DT26,618242,165948,37.4,41.5,31.8,-,28.4,27.7,26.6,27.5,27.9,30.4,39.7,37.0,32.4,24.6,
